date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
20:36:31	125/125	---MCZ	200	added ('OK')	text/html	date:Tue,%2025%20Nov%202025%2001:39:15%20GMT	https://689a1c4e11a56.site123.me/robots.txt		(from )
20:36:31	270202/270202	---M-Z	200	added ('OK')	text/html	date:Tue,%2025%20Nov%202025%2001:31:42%20GMT	https://689a1c4e11a56.site123.me/	C:/JHON/Sonia/paginaU/paginau/689a1c4e11a56.site123.me/index.html	(from )
20:36:33	248196/248196	---M--	200	added ('OK')	image/jpeg	date:Tue,%2025%20Nov%202025%2001:39:17%20GMT	https://files.cdn-files-a.com/uploads/11109623/2000_689a1d8967c3f.jpg	C:/JHON/Sonia/paginaU/paginau/files.cdn-files-a.com/uploads/11109623/2000_689a1d8967c3f.jpg	(from https://689a1c4e11a56.site123.me/)
20:36:33	1547/1547	---M--	200	added ('OK')	image/png	date:Thu,%2003%20Jul%202025%2013:42:01%20GMT	https://cdn-cms-s-8-4.f-static.net/manager/websites/site123_website/files/logos/brand_files_2020/Icons/Png/Icon_blue.png?aspect_ratio=1:1&width=48&format=png	C:/JHON/Sonia/paginaU/paginau/cdn-cms-s-8-4.f-static.net/manager/websites/site123_website/files/logos/brand_files_2020/Icons/Png/Icon_blue5ce5.png	(from https://689a1c4e11a56.site123.me/)
20:36:34	552/552	---M--	200	added ('OK')	image/png	date:Tue,%2025%20Nov%202025%2001:39:18%20GMT	https://cdn-cms-s-8-4.f-static.net/ready_uploads/pwaScreenLogo/pwaImage.png?width=152&height=152&resizeType=pwaIcon&w=&orderScreen=&websiteID=11109623&tranW=&v=css_y239_60965405	C:/JHON/Sonia/paginaU/paginau/cdn-cms-s-8-4.f-static.net/ready_uploads/pwaScreenLogo/pwaImage111c.png	(from https://689a1c4e11a56.site123.me/)
20:36:35	1234/1234	---M--	200	added ('OK')	image/png	date:Tue,%2025%20Nov%202025%2001:39:19%20GMT	https://cdn-cms-s-8-4.f-static.net/ready_uploads/pwaScreenLogo/pwaImage.png?width=180&height=180&resizeType=pwaIcon&w=&orderScreen=&websiteID=11109623&tranW=&v=css_y239_60965405	C:/JHON/Sonia/paginaU/paginau/cdn-cms-s-8-4.f-static.net/ready_uploads/pwaScreenLogo/pwaImage79f2.png	(from https://689a1c4e11a56.site123.me/)
20:36:35	1228/1228	---M--	200	added ('OK')	image/png	date:Tue,%2025%20Nov%202025%2001:39:20%20GMT	https://cdn-cms-s-8-4.f-static.net/ready_uploads/pwaScreenLogo/pwaImage.png?width=167&height=167&resizeType=pwaIcon&w=&orderScreen=&websiteID=11109623&tranW=&v=css_y239_60965405	C:/JHON/Sonia/paginaU/paginau/cdn-cms-s-8-4.f-static.net/ready_uploads/pwaScreenLogo/pwaImage9e65.png	(from https://689a1c4e11a56.site123.me/)
20:36:36	603261/603261	---MCZ	200	added ('OK')	text/css	etag:%229347d-641d0e9fdeec0-gzip%22	https://cdn-cms-s-8-4.f-static.net/versions/2/system_mini/css/minimize_main.css?v=y8412442026	C:/JHON/Sonia/paginaU/paginau/cdn-cms-s-8-4.f-static.net/versions/2/system_mini/css/minimize_main6876.css	(from https://689a1c4e11a56.site123.me/)
20:36:36	171034/171034	---MCZ	200	added ('OK')	text/css	date:Tue,%2025%20Nov%202025%2001:39:21%20GMT	https://cdn-cms-s-8-4.f-static.net/versions/2/css/websiteCSS.css?w=&orderScreen=&websiteID=11109623&onlyContent=&tranW=&v=css_y239_60965405	C:/JHON/Sonia/paginaU/paginau/cdn-cms-s-8-4.f-static.net/versions/2/css/websiteCSSc6cd.css	(from https://689a1c4e11a56.site123.me/)
20:36:36	86150/86150	---MCZ	404	error ('Not%20Found')	text/html	date:Tue,%2025%20Nov%202025%2001:39:21%20GMT	https://689a1c4e11a56.site123.me/%22	C:/JHON/Sonia/paginaU/paginau/689a1c4e11a56.site123.me/_	(from https://689a1c4e11a56.site123.me/)
